live_rank,official_rank,rank_change_vs_official,player_id,player_name,gender,country,country_name,birth_year,official_points,live_points,points_change_vs_official,singles_points,doubles_points_raw,doubles_points_weighted,has_live_result,has_dropped_result,live_rows_available,live_singles_rows_available,live_doubles_rows_available,live_raw_points_available,live_weighted_points_available,live_singles_results_counting,live_doubles_results_counting,dropped_rows_count,dropped_singles_rows_count,dropped_doubles_rows_count,dropped_raw_points,dropped_weighted_points_estimated,active_rows_after_drops,best_singles_summary,best_doubles_summary,audit_note
3,4,1,800655335,Victoria Luiza Barros,F,BRA,Brazil,2009,2194,2205.25,11.25,1930,1101,275.25,true,true,2,1,1,360,225,1,1,2,1,1,315,213.75,20,1. 500 pts [BASE] J500 WR J500 Offenbach 2026-05-04 || 2. 350 pts [BASE] J500 RU J500 Gaspar 2026-03-16 || 3. 350 pts [BASE] J500 RU J500 Merida 2025-11-24 || 4. 300 pts [BASE] J300 WR J300 Bamberg 2025-06-10 || 5. 250 pts [BASE] J500 SF J500 Fort Lauderdale 2025-12-08 || 6. 180 pts [LIVE] JGS R16 Roland Garros Junior Championships 2026-05-31,"1. 225 pts [BASE] JGS QF US Open Junior Tennis Championships 2025-08-31 || 2. 187 pts [BASE] J500 SF J500 Offenbach 2026-05-04 || 3. 187 pts [BASE] J500 SF J500 Gaspar 2026-03-16 || 4. 187 pts [BASE] J500 SF J500 Merida 2025-11-24 || 5. 180 pts [LIVE] JGS R16 Roland Garros Junior Championships 2026-05-31 || 6. 135 pts [BASE] JGS R16 The Junior Championships, Wimbledon 2025-07-05",points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
7,9,2,800695060,Nauhany Vitoria Leme Da Silva,F,BRA,Brazil,2010,1743,1878,135,1550,1312,328,true,true,2,1,1,360,225,1,1,2,1,1,90,90,17,"1. 500 pts [BASE] J500 WR J500 Gaspar 2026-03-16 || 2. 300 pts [BASE] J300 WR J300 Porto Alegre 2026-03-09 || 3. 300 pts [BASE] J300 WR J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 4. 180 pts [LIVE] JGS R16 Roland Garros Junior Championships 2026-05-31 || 5. 180 pts [BASE] JGS R16 The Junior Championships, Wimbledon 2025-07-05 || 6. 90 pts [BASE] J500 R16 J500 Milan 2026-05-18",1. 375 pts [BASE] J500 WR J500 Milan 2026-05-18 || 2. 262 pts [BASE] J500 RU J500 Gaspar 2026-03-16 || 3. 225 pts [BASE] J300 WR J300 Porto Alegre 2026-03-09 || 4. 225 pts [BASE] J300 WR J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 5. 180 pts [LIVE] JGS R16 Roland Garros Junior Championships 2026-05-31 || 6. 45 pts [BASE] J300 R16 J300 Roehampton 2025-06-29,points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
66,70,4,800655734,Pietra Rivoli,F,BRA,Brazil,2008,895.25,914,18.75,680,936,234,true,true,1,0,1,180,45,0,1,2,1,1,0,0,31,1. 140 pts [BASE] J200 RU J200 Santiago 2025-09-29 || 2. 140 pts [BASE] J200 RU J200 Lima 2025-09-22 || 3. 100 pts [BASE] J300 QF J300 Salinas 2026-02-02 || 4. 100 pts [BASE] J300 QF J300 Barranquilla 2026-01-26 || 5. 100 pts [BASE] J200 SF J200 Santa Cruz 2025-11-03 || 6. 100 pts [BASE] J200 SF J200 Salta 2025-10-06,1. 187 pts [BASE] J500 SF J500 Gaspar 2026-03-16 || 2. 180 pts [LIVE] JGS R16 Roland Garros Junior Championships 2026-05-31 || 3. 157 pts [BASE] J300 RU J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 4. 157 pts [BASE] J300 RU J300 Salinas 2026-02-02 || 5. 150 pts [BASE] J200 WR J200 Salta 2025-10-06 || 6. 105 pts [BASE] J300 SF J300 Porto Alegre 2026-03-09,points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
132,134,2,800687687,Nathalia Pontes Tourinho,F,BRA,Brazil,2010,616,616,0,496,480,120,false,false,0,0,0,0,0,0,0,0,0,0,0,0,32,1. 100 pts [BASE] J200 SF J200 Asuncion 2026-03-30 || 2. 100 pts [BASE] J300 QF J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 3. 100 pts [BASE] J100 WR J100 Salvador 2025-11-10 || 4. 100 pts [BASE] J200 SF J200 Salta 2025-10-06 || 5. 60 pts [BASE] J300 R16 J300 Asuncion (Junior Pan American Games) 2025-08-11 || 6. 36 pts [BASE] J200 R16 J200 Santiago 2025-09-29,1. 105 pts [BASE] J200 RU J200 Santiago 2025-09-29 || 2. 75 pts [BASE] J300 QF J300 Santa Croce Sull’Arno 2026-05-11 || 3. 75 pts [BASE] J200 SF J200 Prato 2026-05-05 || 4. 75 pts [BASE] J300 QF J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 5. 75 pts [BASE] J300 QF J300 Barranquilla 2026-01-26 || 6. 75 pts [BASE] J100 WR J100 Salvador 2025-11-10,points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
190,194,4,800713288,Maria Eduarda Carbone dos Santos,F,BRA,Brazil,2010,457.5,457.5,0,377,322,80.5,false,false,0,0,0,0,0,0,0,0,0,0,0,0,28,1. 140 pts [BASE] J200 RU J200 Asuncion 2026-03-30 || 2. 60 pts [BASE] J300 R16 J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 3. 60 pts [BASE] J60 WR J60 Limelette 2025-06-30 || 4. 45 pts [BASE] J500 R32 J500 Gaspar 2026-03-16 || 5. 36 pts [BASE] J200 R16 J200 Santa Cruz 2025-11-03 || 6. 36 pts [BASE] J200 R16 J200 Santiago 2025-09-29,1. 75 pts [BASE] J300 QF J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 2. 67 pts [BASE] J500 R16 J500 Gaspar 2026-03-16 || 3. 45 pts [BASE] J200 QF J200 Asuncion 2026-03-30 || 4. 45 pts [BASE] J60 WR J60 Itajaí 2025-10-27 || 5. 45 pts [BASE] J200 QF J200 Santiago 2025-09-29 || 6. 45 pts [BASE] J200 QF J200 Lima 2025-09-22,points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
227,232,5,800765119,Clara Coura,F,BRA,Brazil,2011,394.5,394.5,0,352,170,42.5,false,false,0,0,0,0,0,0,0,0,0,0,0,0,28,1. 100 pts [BASE] J100 WR J100 Cochabamba 2026-05-18 || 2. 60 pts [BASE] J100 RU J100 La Paz 2026-05-11 || 3. 60 pts [BASE] J100 RU J100 Mendoza 2026-03-23 || 4. 60 pts [BASE] J60 WR J60 Villa María 2025-08-11 || 5. 36 pts [BASE] J60 RU J60 Itajaí 2025-10-27 || 6. 36 pts [BASE] J60 RU J60 Quito 2025-09-08,1. 45 pts [BASE] J100 RU J100 Cochabamba 2026-05-18 || 2. 45 pts [BASE] J100 RU J100 Luque 2026-04-06 || 3. 27 pts [BASE] J100 SF J100 La Paz 2026-05-11 || 4. 25 pts [BASE] J30 WR J30 Ambato 2025-09-01 || 5. 14 pts [BASE] J60 SF J60 Itajaí 2025-10-27 || 6. 14 pts [BASE] J60 SF J60 Villa María 2025-08-11,points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
296,298,2,800695753,Ana Cruz,F,BRA,Brazil,2009,315,315,0,212,412,103,false,false,0,0,0,0,0,0,0,0,0,0,0,0,25,1. 60 pts [BASE] J200 QF J200 Asuncion 2026-03-30 || 2. 60 pts [BASE] J200 QF J200 Lima 2025-09-22 || 3. 36 pts [BASE] J200 R16 J200 Santiago 2025-09-29 || 4. 36 pts [BASE] J100 SF J100 Londrina 2025-06-30 || 5. 20 pts [BASE] J100 QF J100 Luque 2026-04-06 || 6. 0 pts [BASE] J300 R32 J300 Charleroi-Marcinelle 2026-05-25,1. 75 pts [BASE] J200 SF J200 Prato 2026-05-05 || 2. 75 pts [BASE] J100 WR J100 Luque 2026-04-06 || 3. 75 pts [BASE] J200 SF J200 Asuncion 2026-03-30 || 4. 75 pts [BASE] J300 QF J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 5. 67 pts [BASE] J500 R16 J500 Gaspar 2026-03-16 || 6. 45 pts [BASE] J200 QF J200 Santiago 2025-09-29,points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
336,336,0,800677160,larissa silenci,F,BRA,Brazil,2010,271.5,271.5,0,191,322,80.5,false,true,0,0,0,0,0,0,0,2,1,1,7,1.75,29,1. 60 pts [BASE] J300 R16 J300 Porto Alegre 2026-03-09 || 2. 45 pts [BASE] J500 R32 J500 Gaspar 2026-03-16 || 3. 36 pts [BASE] J60 RU J60 São Paulo 2025-08-25 || 4. 20 pts [BASE] J100 QF J100 Lima 2026-05-04 || 5. 20 pts [BASE] J100 QF J100 Salvador 2025-11-10 || 6. 10 pts [BASE] J60 QF J60 Lima 2026-04-27,1. 75 pts [BASE] J300 QF J300 Asuncion 2026-03-02 || 2. 67 pts [BASE] J500 R16 J500 Gaspar 2026-03-16 || 3. 45 pts [BASE] J100 RU J100 Lima 2026-05-04 || 4. 45 pts [BASE] J200 QF J200 Asuncion 2026-03-30 || 5. 45 pts [BASE] J300 R16 J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 6. 45 pts [BASE] J60 WR J60 São Paulo 2025-08-25,points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
339,369,30,800756804,Eduarda Gomes,F,BRA,Brazil,2012,246,271,25,217,216,54,true,false,1,1,0,30,30,1,0,0,0,0,0,0,16,1. 60 pts [BASE] J60 WR J60 São Paulo 2025-08-25 || 2. 45 pts [BASE] J500 R32 J500 Gaspar 2026-03-16 || 3. 36 pts [BASE] J100 SF J100 Salvador 2025-11-10 || 4. 36 pts [BASE] J200 R16 J200 Lima 2025-09-22 || 5. 30 pts [LIVE] JGS R64 Roland Garros Junior Championships 2026-05-31 || 6. 10 pts [BASE] J60 QF J60 Punta del Este 2025-09-08,1. 112 pts [BASE] J500 QF J500 Gaspar 2026-03-16 || 2. 45 pts [BASE] J60 WR J60 Szczecin 2026-02-03 || 3. 45 pts [BASE] J100 RU J100 Salvador 2025-11-10 || 4. 7 pts [BASE] J60 QF J60 Punta del Este 2025-09-08 || 5. 7 pts [BASE] J60 QF J60 São Paulo 2025-08-25 || 6. 0 pts [BASE] J60 R16 J60 Puszczykowo 2026-02-10,points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
342,341,-1,800695604,Alicia Reichel,F,BRA,Brazil,2009,268,268,0,174,376,94,false,true,0,0,0,0,0,0,0,2,1,1,7,1.75,36,1. 36 pts [BASE] J200 R16 J200 Asuncion 2026-03-30 || 2. 36 pts [BASE] J100 SF J100 Salvador 2025-11-10 || 3. 36 pts [BASE] J200 R16 J200 Pretoria 2025-09-15 || 4. 30 pts [BASE] J300 R32 J300 Santa Cruz (South America Regional Championships) 2026-02-23 || 5. 18 pts [BASE] J200 R32 J200 Santa Cruz 2025-11-03 || 6. 18 pts [BASE] J60 SF J60 Curitiba 2025-07-07,1. 187 pts [BASE] J500 SF J500 Gaspar 2026-03-16 || 2. 45 pts [BASE] J200 QF J200 Prato 2026-05-05 || 3. 45 pts [BASE] J100 RU J100 Salvador 2025-11-10 || 4. 45 pts [BASE] J100 RU J100 Londrina 2025-06-30 || 5. 27 pts [BASE] J100 SF J100 Luque 2026-04-06 || 6. 27 pts [BASE] J200 R16 J200 Santa Cruz 2025-11-03,points_change_vs_official é o saldo final após recomposição dos 6 melhores resultados; não precisa bater exatamente com live_weighted_points_available - dropped_weighted_points_estimated.
