official_rebuild_rank,simulated_rank,player_id,player_name,gender,country,country_name,birth_year,official_rebuild_points,official_rebuild_singles_points,official_rebuild_doubles_raw,official_rebuild_doubles_weighted,official_rebuild_singles_count,official_rebuild_doubles_count,simulated_points,simulated_singles_points,simulated_doubles_raw,simulated_doubles_weighted,simulated_singles_results_used,simulated_doubles_results_used,best_singles_1,best_singles_2,best_singles_3,best_singles_4,best_singles_5,best_singles_6,best_doubles_1,best_doubles_2,best_doubles_3,best_doubles_4,best_doubles_5,best_doubles_6,calculated_at
1,1,800591535,Ksenia Efremova,F,FRA,France,2009,2718,2510,832,208,6,6,2718,2510,832,208,6,6,1000 pts | countable | JGS | WR | Australian Open Junior Championships | 2026-01-24,500 pts | countable | J500 | WR | J500 Osaka | 2025-09-22,300 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,300 pts | countable | J300 | WR | J300 Repentigny | 2025-08-24,210 pts | countable | J300 | RU | J300 Traralgon | 2026-01-16,200 pts | countable | J200 | WR | J200 Hong Kong | 2025-09-30,375 pts | countable | J500 | WR | J500 Osaka | 2025-09-22,157 pts | countable | J300 | RU | J300 Repentigny | 2025-08-24,150 pts | countable | J200 | WR | J200 Hong Kong | 2025-09-30,105 pts | countable | J300 | SF | J300 College Park | 2025-08-18,45 pts | countable | J300 | R16 | J300 Roehampton | 2025-06-29,0 pts | countable | J300 | R32 | J300 Traralgon | 2026-01-16,2026-06-02T20:42:05.214Z
2,2,800677732,Xinran Sun,F,CHN,"China, P.R.",2010,2318,2080,952,238,6,6,2318,2080,952,238,6,6,500 pts | countable | J500 | WR | J500 Milan | 2026-05-18,500 pts | countable | J500 | WR | J500 Fort Lauderdale | 2025-12-08,300 pts | countable | J300 | WR | J300 Plovdiv | 2026-04-28,300 pts | countable | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | countable | J300 | WR | J300 Traralgon | 2026-01-16,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,225 pts | countable | J300 | WR | J300 Bradenton | 2025-12-01,225 pts | countable | J300 | WR | J300 Beijing | 2025-09-16,157 pts | countable | J300 | RU | J300 College Park | 2025-08-18,"135 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",105 pts | countable | J300 | SF | J300 Plovdiv | 2026-04-28,105 pts | countable | J300 | SF | J300 Traralgon | 2026-01-16,2026-06-02T20:42:05.214Z
3,3,800572951,Alena Kovackova,F,CZE,Czechia,2008,2199.75,1480,2879,719.75,6,6,2199.75,1480,2879,719.75,6,6,500 pts | countable | J500 | WR | J500 Merida | 2025-11-24,420 pts | countable | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,180 pts | countable | JGS | R16 | Australian Open Junior Championships | 2026-01-24,180 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,100 pts | countable | J300 | QF | J300 Traralgon | 2026-01-16,100 pts | countable | J300 | QF | J300 Zapopan | 2025-11-17,750 pts | countable | JGS | WR | Australian Open Junior Championships | 2026-01-24,750 pts | countable | JGS | WR | US Open Junior Tennis Championships | 2025-08-31,525 pts | countable | JGS | RU | Roland Garros Junior Championships | 2025-06-01,"367 pts | countable | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",262 pts | countable | J500 | RU | J500 Merida | 2025-11-24,225 pts | non_countable | J300 | WR | J300 Zapopan | 2025-11-17,2026-06-02T20:42:05.214Z
4,4,800655335,Victoria Luiza Barros,F,BRA,Brazil,2009,2194,1930,1056,264,6,6,2194,1930,1056,264,6,6,500 pts | countable | J500 | WR | J500 Offenbach | 2026-05-04,350 pts | countable | J500 | RU | J500 Gaspar | 2026-03-16,350 pts | countable | J500 | RU | J500 Merida | 2025-11-24,300 pts | countable | J300 | WR | J300 Bamberg | 2025-06-10,250 pts | countable | J500 | SF | J500 Fort Lauderdale | 2025-12-08,180 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,225 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,187 pts | countable | J500 | SF | J500 Offenbach | 2026-05-04,187 pts | countable | J500 | SF | J500 Gaspar | 2026-03-16,187 pts | countable | J500 | SF | J500 Merida | 2025-11-24,"135 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",135 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,2026-06-02T20:42:05.214Z
5,5,800627475,Mia Pohankova,F,SVK,Slovakia,2008,2189.25,2030,637,159.25,5,4,2189.25,2030,637,159.25,5,4,"1000 pts | countable | JGS | WR | The Junior Championships, Wimbledon | 2025-07-05",550 pts | countable | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,300 pts | countable | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,180 pts | countable | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,0 pts | countable | J300 | R64 | J300 Roehampton | 2025-06-29,,367 pts | countable | JGS | SF | Roland Garros Junior Championships | 2025-06-01,135 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"135 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",0 pts | countable | J300 | R32 | J300 Roehampton | 2025-06-29,,,2026-06-02T20:42:05.214Z
6,6,800661515,Jana Kovackova,F,CZE,Czechia,2010,2099.75,1380,2879,719.75,6,6,2099.75,1380,2879,719.75,6,6,300 pts | countable | J300 | WR | J300 Zapopan | 2025-11-17,260 pts | countable | JM | 3 | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,250 pts | countable | J500 | SF | J500 Milan | 2026-05-18,250 pts | countable | J500 | SF | J500 Merida | 2025-11-24,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,140 pts | countable | J300 | SF | J300 Roehampton | 2025-06-29,750 pts | countable | JGS | WR | Australian Open Junior Championships | 2026-01-24,750 pts | countable | JGS | WR | US Open Junior Tennis Championships | 2025-08-31,525 pts | countable | JGS | RU | Roland Garros Junior Championships | 2025-06-01,"367 pts | countable | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",262 pts | countable | J500 | RU | J500 Merida | 2025-11-24,225 pts | non_countable | J300 | WR | J300 Zapopan | 2025-11-17,2026-06-02T20:42:05.214Z
7,7,800631038,Hannah Klugman,F,GBR,Great Britain,2009,2047.5,1980,270,67.5,4,3,2047.5,1980,270,67.5,4,3,700 pts | countable | JGS | RU | Roland Garros Junior Championships | 2025-06-01,490 pts | countable | JM | SF | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,490 pts | countable | JGS | SF | US Open Junior Tennis Championships | 2025-08-31,"300 pts | countable | JGS | QF | The Junior Championships, Wimbledon | 2025-07-05",,,135 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"135 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",0 pts | countable | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,,,,2026-06-02T20:42:05.214Z
8,8,800719373,Kristina Penickova,F,USA,USA,2009,1905.5,1480,1702,425.5,6,5,1905.5,1480,1702,425.5,6,5,700 pts | countable | JM | RU | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,250 pts | countable | J500 | SF | J500 Osaka | 2025-09-22,200 pts | countable | J200 | WR | J200 Chuncheon | 2025-09-30,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"90 pts | countable | JGS | R32 | The Junior Championships, Wimbledon | 2025-07-05",60 pts | countable | J300 | R16 | J300 Roehampton | 2025-06-29,"750 pts | countable | JGS | WR | The Junior Championships, Wimbledon | 2025-07-05",375 pts | countable | J500 | WR | J500 Osaka | 2025-09-22,367 pts | countable | JGS | SF | Roland Garros Junior Championships | 2025-06-01,135 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,75 pts | countable | J300 | QF | J300 Roehampton | 2025-06-29,,2026-06-02T20:42:05.215Z
9,9,800695060,Nauhany Vitoria Leme Da Silva,F,BRA,Brazil,2010,1743,1460,1132,283,6,6,1743,1460,1132,283,6,6,500 pts | countable | J500 | WR | J500 Gaspar | 2026-03-16,300 pts | countable | J300 | WR | J300 Porto Alegre | 2026-03-09,300 pts | countable | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,"180 pts | countable | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",90 pts | countable | J500 | R16 | J500 Milan | 2026-05-18,90 pts | countable | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,375 pts | countable | J500 | WR | J500 Milan | 2026-05-18,262 pts | countable | J500 | RU | J500 Gaspar | 2026-03-16,225 pts | countable | J300 | WR | J300 Porto Alegre | 2026-03-09,225 pts | countable | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,45 pts | countable | J300 | R16 | J300 Roehampton | 2025-06-29,0 pts | countable | J300 | R16 | J300 Repentigny | 2025-08-24,2026-06-02T20:42:05.215Z
10,10,800692835,Julieta Pareja,F,USA,USA,2009,1706.75,1480,907,226.75,4,3,1706.75,1480,907,226.75,4,3,"700 pts | countable | JGS | RU | The Junior Championships, Wimbledon | 2025-07-05",300 pts | countable | J300 | WR | J300 Roehampton | 2025-06-29,300 pts | countable | JGS | QF | Roland Garros Junior Championships | 2025-06-01,180 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,,,"525 pts | countable | JGS | RU | The Junior Championships, Wimbledon | 2025-07-05",225 pts | countable | JGS | QF | Roland Garros Junior Championships | 2025-06-01,157 pts | countable | J300 | RU | J300 Roehampton | 2025-06-29,,,,2026-06-02T20:42:05.215Z
