player_id,player_name,gender,country,birth_year,official_rank,live_rank,rank_change_vs_official,official_points,live_points,points_change_vs_official,live_rows_available,live_raw_points_available,live_singles_results_counting,live_doubles_results_counting,best_singles_1,best_singles_2,best_singles_3,best_doubles_1,best_doubles_2,best_doubles_3,calculated_at
800667373,Motoharu Abe,M,JPN,2009,436,385,51,182,213.25,31.25,2,120,1,1,36 pts | BASE | J100 | SF | J100 Lousada | 2026-05-18,30 pts | LIVE | JGS | R64 | Roland Garros Junior Championships | 2026-05-31,18 pts | BASE | J60 | SF | J60 Telde | 2026-03-31,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J200 | SF | J200 Punta Cana | 2026-02-09,75 pts | BASE | J100 | WR | J100 Manacor | 2026-01-26,2026-06-02T23:19:32.290Z
800722835,SRISHTI KIRAN,F,IND,2012,461,414,47,201,217,16,2,36,1,1,60 pts | BASE | J60 | WR | J60 Santa Tecla | 2026-05-18,30 pts | BASE | J30 | WR | J30 Huamantla | 2026-01-19,30 pts | BASE | J30 | WR | J30 Huamantla | 2026-01-12,25 pts | BASE | J30 | WR | J30 Cabarete | 2025-10-27,18 pts | LIVE | J100 | R16 | J100 Guatemala | 2026-06-01,13 pts | BASE | J30 | RU | J30 Huamantla | 2026-01-19,2026-06-02T23:19:32.300Z
800603080,Cindy Langlais,F,FRA,2009,309,267,42,300,352.5,52.5,2,120,1,1,100 pts | BASE | J100 | WR | J100 Alicante | 2026-04-06,60 pts | BASE | J300 | R16 | J300 Beaulieu-sur-Mer | 2026-04-13,30 pts | LIVE | JGS | R64 | Roland Garros Junior Championships | 2026-05-31,135 pts | BASE | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J100 | WR | J100 Alicante | 2026-04-06,2026-06-02T23:19:32.297Z
800626636,Nehira Sanon,F,FRA,2009,213,172,41,421,522.25,101.25,2,180,1,1,140 pts | BASE | J300 | SF | J300 Beaulieu-sur-Mer | 2026-04-13,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,60 pts | BASE | J200 | QF | J200 Cap d'Ail | 2026-03-30,105 pts | BASE | J300 | SF | J300 Beaulieu-sur-Mer | 2026-04-13,105 pts | BASE | J300 | SF | J300 Vrsar | 2026-03-23,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,2026-06-02T23:19:32.295Z
800647963,Ninon Carpentier,F,FRA,2010,342,310,32,268,300.5,32.5,2,120,1,1,60 pts | BASE | J100 | RU | J100 Balma | 2025-10-20,36 pts | BASE | J200 | R16 | J200 Prato | 2026-05-05,36 pts | BASE | J200 | R16 | J200 Istres | 2026-04-06,105 pts | BASE | J200 | RU | J200 Targu Jiu | 2026-05-18,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,27 pts | BASE | J60 | RU | J60 Preveza | 2025-07-08,2026-06-02T23:19:32.298Z
800644047,Marco Meacci,M,ITA,2009,465,435,30,169.25,183.25,14,2,36,1,1,60 pts | BASE | J60 | WR | J60 Cairo | 2026-04-28,30 pts | BASE | J30 | WR | J30 Ismailia | 2026-01-12,18 pts | LIVE | J60 | QF | J60 Bastad | 2026-06-01,75 pts | BASE | J100 | WR | J100 Nairobi | 2025-11-10,45 pts | BASE | J60 | WR | J60 Cairo | 2026-04-28,18 pts | LIVE | J60 | QF | J60 Bastad | 2026-06-01,2026-06-02T23:19:32.291Z
800756804,Eduarda Gomes,F,BRA,2012,369,340,29,246,271,25,1,30,1,0,60 pts | BASE | J60 | WR | J60 São Paulo | 2025-08-25,45 pts | BASE | J500 | R32 | J500 Gaspar | 2026-03-16,36 pts | BASE | J100 | SF | J100 Salvador | 2025-11-10,112 pts | BASE | J500 | QF | J500 Gaspar | 2026-03-16,45 pts | BASE | J60 | WR | J60 Szczecin | 2026-02-03,45 pts | BASE | J100 | RU | J100 Salvador | 2025-11-10,2026-06-02T23:19:32.298Z
800684768,Benoit Geldof,M,FRA,2010,283,259,24,294,316.5,22.5,2,120,0,1,60 pts | BASE | J100 | RU | J100 Saint Gregoire | 2025-11-24,60 pts | BASE | J100 | RU | J100 Maaseik | 2025-08-04,36 pts | BASE | J200 | R16 | J200 Haskovo | 2026-04-21,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J100 | WR | J100 Balma | 2025-10-20,45 pts | BASE | J200 | QF | J200 Basel | 2025-07-29,2026-06-02T23:19:32.286Z
800677532,Ekaterina Dotsenko,F,RUS,2011,78,56,22,861.5,979.75,118.25,2,360,1,1,300 pts | BASE | J300 | WR | J300 New Delhi | 2026-01-05,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,100 pts | BASE | J300 | QF | J300 Nonthaburi | 2026-03-02,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J200 | SF | J200 Hong Kong | 2025-09-30,45 pts | BASE | J100 | RU | J100 Aridea | 2025-10-06,2026-06-02T23:19:32.280Z
800708129,Yui Komada,F,JPN,2010,176,154,22,503.75,557.75,54,1,90,1,0,100 pts | BASE | J300 | QF | J300 Pune (Asia/Oceania Closed Regional Championships) | 2026-04-20,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,60 pts | BASE | J300 | R16 | J300 Kuching | 2026-04-07,225 pts | BASE | J300 | WR | J300 Pune (Asia/Oceania Closed Regional Championships) | 2026-04-20,112 pts | BASE | J500 | QF | J500 Osaka | 2025-09-22,75 pts | BASE | J300 | QF | J300 Kuching | 2026-04-07,2026-06-02T23:19:32.294Z
