live_rank,official_rank,rank_change_vs_official,player_id,player_name,gender,country,country_name,birth_year,official_points_for_comparison,live_points,points_change_vs_official,singles_points,doubles_points_raw,doubles_points_weighted,singles_results_used,doubles_results_used,live_rows_available,live_raw_points_available,live_singles_results_counting,live_doubles_results_counting,has_live_result,best_singles_1,best_singles_2,best_singles_3,best_singles_4,best_singles_5,best_singles_6,best_doubles_1,best_doubles_2,best_doubles_3,best_doubles_4,best_doubles_5,best_doubles_6,ranking_date,calculated_at
1,1,0,800591535,Ksenia Efremova,F,FRA,France,2009,2718,2718,0,2510,832,208,6,6,1,30,0,0,true,1000 pts | BASE | JGS | WR | Australian Open Junior Championships | 2026-01-24,500 pts | BASE | J500 | WR | J500 Osaka | 2025-09-22,300 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,300 pts | BASE | J300 | WR | J300 Repentigny | 2025-08-24,210 pts | BASE | J300 | RU | J300 Traralgon | 2026-01-16,200 pts | BASE | J200 | WR | J200 Hong Kong | 2025-09-30,375 pts | BASE | J500 | WR | J500 Osaka | 2025-09-22,157 pts | BASE | J300 | RU | J300 Repentigny | 2025-08-24,150 pts | BASE | J200 | WR | J200 Hong Kong | 2025-09-30,105 pts | BASE | J300 | SF | J300 College Park | 2025-08-18,45 pts | BASE | J300 | R16 | J300 Roehampton | 2025-06-29,0 pts | BASE | J300 | R32 | J300 Traralgon | 2026-01-16,2026-06-02,2026-06-02T23:19:32.274Z
2,2,0,800677732,Xinran Sun,F,CHN,"China, P.R.",2010,2318,2336.75,18.75,2080,1027,256.75,6,6,2,360,1,1,true,500 pts | BASE | J500 | WR | J500 Milan | 2026-05-18,500 pts | BASE | J500 | WR | J500 Fort Lauderdale | 2025-12-08,300 pts | BASE | J300 | WR | J300 Plovdiv | 2026-04-28,300 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | BASE | J300 | WR | J300 Traralgon | 2026-01-16,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,225 pts | BASE | J300 | WR | J300 Bradenton | 2025-12-01,225 pts | BASE | J300 | WR | J300 Beijing | 2025-09-16,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,157 pts | BASE | J300 | RU | J300 College Park | 2025-08-18,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",105 pts | BASE | J300 | SF | J300 Plovdiv | 2026-04-28,2026-06-02,2026-06-02T23:19:32.274Z
3,4,1,800655335,Victoria Luiza Barros,F,BRA,Brazil,2009,2194,2205.25,11.25,1930,1101,275.25,6,6,2,360,1,1,true,500 pts | BASE | J500 | WR | J500 Offenbach | 2026-05-04,350 pts | BASE | J500 | RU | J500 Gaspar | 2026-03-16,350 pts | BASE | J500 | RU | J500 Merida | 2025-11-24,300 pts | BASE | J300 | WR | J300 Bamberg | 2025-06-10,250 pts | BASE | J500 | SF | J500 Fort Lauderdale | 2025-12-08,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,225 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,187 pts | BASE | J500 | SF | J500 Offenbach | 2026-05-04,187 pts | BASE | J500 | SF | J500 Gaspar | 2026-03-16,187 pts | BASE | J500 | SF | J500 Merida | 2025-11-24,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",2026-06-02,2026-06-02T23:19:32.275Z
4,3,-1,800572951,Alena Kovackova,F,CZE,Czechia,2008,2199.75,2199.75,0,1480,2879,719.75,6,6,0,0,0,0,false,500 pts | BASE | J500 | WR | J500 Merida | 2025-11-24,420 pts | BASE | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,180 pts | BASE | JGS | R16 | Australian Open Junior Championships | 2026-01-24,180 pts | BASE | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,100 pts | BASE | J300 | QF | J300 Traralgon | 2026-01-16,100 pts | BASE | J300 | QF | J300 Zapopan | 2025-11-17,750 pts | BASE | JGS | WR | Australian Open Junior Championships | 2026-01-24,750 pts | BASE | JGS | WR | US Open Junior Tennis Championships | 2025-08-31,525 pts | BASE | JGS | RU | Roland Garros Junior Championships | 2025-06-01,"367 pts | BASE | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",262 pts | BASE | J500 | RU | J500 Merida | 2025-11-24,225 pts | BASE | J300 | WR | J300 Zapopan | 2025-11-17,2026-06-02,2026-06-02T23:19:32.275Z
5,5,0,800627475,Mia Pohankova,F,SVK,Slovakia,2008,2189.25,2189.25,0,2030,637,159.25,5,4,0,0,0,0,false,"1000 pts | BASE | JGS | WR | The Junior Championships, Wimbledon | 2025-07-05",550 pts | BASE | JM | WR | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,300 pts | BASE | JGS | QF | US Open Junior Tennis Championships | 2025-08-31,180 pts | BASE | JGS | R16 | Roland Garros Junior Championships | 2025-06-01,0 pts | BASE | J300 | R64 | J300 Roehampton | 2025-06-29,,367 pts | BASE | JGS | SF | Roland Garros Junior Championships | 2025-06-01,135 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",0 pts | BASE | J300 | R32 | J300 Roehampton | 2025-06-29,,,2026-06-02,2026-06-02T23:19:32.275Z
6,6,0,800661515,Jana Kovackova,F,CZE,Czechia,2010,2099.75,2139.75,40,1420,2879,719.75,6,6,2,360,1,0,true,300 pts | BASE | J300 | WR | J300 Zapopan | 2025-11-17,260 pts | BASE | JM | 3 | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,250 pts | BASE | J500 | SF | J500 Milan | 2026-05-18,250 pts | BASE | J500 | SF | J500 Merida | 2025-11-24,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,180 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,750 pts | BASE | JGS | WR | Australian Open Junior Championships | 2026-01-24,750 pts | BASE | JGS | WR | US Open Junior Tennis Championships | 2025-08-31,525 pts | BASE | JGS | RU | Roland Garros Junior Championships | 2025-06-01,"367 pts | BASE | JGS | SF | The Junior Championships, Wimbledon | 2025-07-05",262 pts | BASE | J500 | RU | J500 Merida | 2025-11-24,225 pts | BASE | J300 | WR | J300 Zapopan | 2025-11-17,2026-06-02,2026-06-02T23:19:32.275Z
7,7,0,800631038,Hannah Klugman,F,GBR,Great Britain,2009,2047.5,2047.5,0,1980,270,67.5,4,3,0,0,0,0,false,700 pts | BASE | JGS | RU | Roland Garros Junior Championships | 2025-06-01,490 pts | BASE | JM | SF | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,490 pts | BASE | JGS | SF | US Open Junior Tennis Championships | 2025-08-31,"300 pts | BASE | JGS | QF | The Junior Championships, Wimbledon | 2025-07-05",,,135 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"135 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",0 pts | BASE | JGS | R32 | Roland Garros Junior Championships | 2025-06-01,,,,2026-06-02,2026-06-02T23:19:32.275Z
8,8,0,800719373,Kristina Penickova,F,USA,USA,2009,1905.5,1905.5,0,1480,1702,425.5,6,5,0,0,0,0,false,700 pts | BASE | JM | RU | 2025 ITF World Tennis Tour Junior Finals | 2025-10-22,250 pts | BASE | J500 | SF | J500 Osaka | 2025-09-22,200 pts | BASE | J200 | WR | J200 Chuncheon | 2025-09-30,180 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,"90 pts | BASE | JGS | R32 | The Junior Championships, Wimbledon | 2025-07-05",60 pts | BASE | J300 | R16 | J300 Roehampton | 2025-06-29,"750 pts | BASE | JGS | WR | The Junior Championships, Wimbledon | 2025-07-05",375 pts | BASE | J500 | WR | J500 Osaka | 2025-09-22,367 pts | BASE | JGS | SF | Roland Garros Junior Championships | 2025-06-01,135 pts | BASE | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,75 pts | BASE | J300 | QF | J300 Roehampton | 2025-06-29,,2026-06-02,2026-06-02T23:19:32.276Z
9,9,0,800695060,Nauhany Vitoria Leme Da Silva,F,BRA,Brazil,2010,1743,1878,135,1550,1312,328,6,6,2,360,1,1,true,500 pts | BASE | J500 | WR | J500 Gaspar | 2026-03-16,300 pts | BASE | J300 | WR | J300 Porto Alegre | 2026-03-09,300 pts | BASE | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,"180 pts | BASE | JGS | R16 | The Junior Championships, Wimbledon | 2025-07-05",90 pts | BASE | J500 | R16 | J500 Milan | 2026-05-18,375 pts | BASE | J500 | WR | J500 Milan | 2026-05-18,262 pts | BASE | J500 | RU | J500 Gaspar | 2026-03-16,225 pts | BASE | J300 | WR | J300 Porto Alegre | 2026-03-09,225 pts | BASE | J300 | WR | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,45 pts | BASE | J300 | R16 | J300 Roehampton | 2025-06-29,2026-06-02,2026-06-02T23:19:32.276Z
10,14,4,800644962,Mariia Makarova,F,RUS,Russia,2010,1640.5,1783,142.5,1530,1012,253,6,6,2,270,1,1,true,350 pts | BASE | J500 | RU | J500 Milan | 2026-05-18,300 pts | BASE | JGS | QF | Australian Open Junior Championships | 2026-01-24,300 pts | BASE | J300 | WR | J300 Sanxenxo | 2025-09-23,200 pts | BASE | J200 | WR | J200 Cairo | 2025-11-10,200 pts | BASE | J200 | WR | J200 Cairo | 2025-11-03,180 pts | LIVE | JGS | R16 | Roland Garros Junior Championships | 2026-05-31,367 pts | BASE | JGS | SF | Australian Open Junior Championships | 2026-01-24,225 pts | BASE | J300 | WR | J300 Traralgon | 2026-01-16,150 pts | BASE | J200 | WR | J200 Cairo | 2025-11-10,105 pts | BASE | J300 | SF | J300 Sanxenxo | 2025-09-23,90 pts | LIVE | JGS | R32 | Roland Garros Junior Championships | 2026-05-31,75 pts | BASE | J200 | SF | J200 Cairo | 2025-11-03,2026-06-02,2026-06-02T23:19:32.276Z
