week_start,week_end,search_start,search_end,tournament_id,tournament_key,tournament_name,promotional_name,category,host_nation,host_nation_code,location,venue,start_date,end_date,dates_raw,surface,surface_code,indoor_outdoor,tournament_link,live_link,source_url,collected_at,raw_json
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-JGS-USA-2026-001,US Open Junior Tennis Championships,US Open Junior Tennis Championships,JGS,USA,USA,New York,New York,2026-09-06,2026-09-12,06 Sep to 12 Sep 2026,Hard,H,Outdoor,https://www.itftennis.com/en/tournament/us-open-junior-tennis-championships/usa/2026/j-jgs-usa-2026-001/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.824Z,"{""tournamentName"":""US Open Junior Tennis Championships"",""dates"":""06 Sep to 12 Sep 2026"",""location"":""New York"",""category"":""JGS"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Hard"",""surfaceCode"":""H"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""US Open Junior Tennis Championships"",""promotionalName"":""US Open Junior Tennis Championships"",""hostNation"":""USA"",""hostNationCode"":""USA"",""venue"":""New York"",""startDate"":""2026-09-06T00:00:00"",""endDate"":""2026-09-12T00:00:00"",""tournamentKey"":""J-JGS-USA-2026-001"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/us-open-junior-tennis-championships/usa/2026/j-jgs-usa-2026-001/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100 El Prat de Llobregat (Barcelona),J100,Spain,ESP,El Prat de Llobregat,El Prat de Llobregat,2026-09-07,2026-09-12,07 Sep to 12 Sep 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j100-el-prat-de-llobregat/esp/2026/j-j100-esp-2026-007/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.825Z,"{""tournamentName"":""J100 El Prat de Llobregat"",""dates"":""07 Sep to 12 Sep 2026"",""location"":""El Prat de Llobregat"",""category"":""J100"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J100 El Prat de Llobregat"",""promotionalName"":""J100 El Prat de Llobregat (Barcelona)"",""hostNation"":""Spain"",""hostNationCode"":""ESP"",""venue"":""El Prat de Llobregat"",""startDate"":""2026-09-07T00:00:00"",""endDate"":""2026-09-12T00:00:00"",""tournamentKey"":""J-J100-ESP-2026-007"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j100-el-prat-de-llobregat/esp/2026/j-j100-esp-2026-007/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-J100-LAT-2026-002,J100 Liepaja,J100 Liepaja,J100,Latvia,LAT,Liepaja,Liepaja,2026-09-07,2026-09-11,07 Sep to 11 Sep 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j100-liepaja/lat/2026/j-j100-lat-2026-002/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.825Z,"{""tournamentName"":""J100 Liepaja"",""dates"":""07 Sep to 11 Sep 2026"",""location"":""Liepaja"",""category"":""J100"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J100 Liepaja"",""promotionalName"":""J100 Liepaja"",""hostNation"":""Latvia"",""hostNationCode"":""LAT"",""venue"":""Liepaja"",""startDate"":""2026-09-07T00:00:00"",""endDate"":""2026-09-11T00:00:00"",""tournamentKey"":""J-J100-LAT-2026-002"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j100-liepaja/lat/2026/j-j100-lat-2026-002/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-J100-ITA-2026-001,J100 Palermo,"12° TORNEO INTERNAZIONALE U18 ""TROFEO ANTONINO MERCADANTE""",J100,Italy,ITA,PALERMO,PALERMO,2026-09-07,2026-09-13,07 Sep to 13 Sep 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j100-palermo/ita/2026/j-j100-ita-2026-001/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.825Z,"{""tournamentName"":""J100 Palermo"",""dates"":""07 Sep to 13 Sep 2026"",""location"":""PALERMO"",""category"":""J100"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J100 Palermo"",""promotionalName"":""12° TORNEO INTERNAZIONALE U18 \""TROFEO ANTONINO MERCADANTE\"""",""hostNation"":""Italy"",""hostNationCode"":""ITA"",""venue"":""PALERMO"",""startDate"":""2026-09-07T00:00:00"",""endDate"":""2026-09-13T00:00:00"",""tournamentKey"":""J-J100-ITA-2026-001"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j100-palermo/ita/2026/j-j100-ita-2026-001/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-J30-GHA-2026-006,J30 Accra,Tennis Foundation Ghana Open,J30,Ghana,GHA,Accra,Accra,2026-09-07,2026-09-12,07 Sep to 12 Sep 2026,Hard,H,Outdoor,https://www.itftennis.com/en/tournament/j30-accra/gha/2026/j-j30-gha-2026-006/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.825Z,"{""tournamentName"":""J30 Accra"",""dates"":""07 Sep to 12 Sep 2026"",""location"":""Accra"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Hard"",""surfaceCode"":""H"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Accra"",""promotionalName"":""Tennis Foundation Ghana Open"",""hostNation"":""Ghana"",""hostNationCode"":""GHA"",""venue"":""Accra"",""startDate"":""2026-09-07T00:00:00"",""endDate"":""2026-09-12T00:00:00"",""tournamentKey"":""J-J30-GHA-2026-006"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-accra/gha/2026/j-j30-gha-2026-006/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-J30-IND-2026-005,J30 Ahmedabad,J30 Ahmedabad,J30,India,IND,Ahmedabad,Ahmedabad,2026-09-07,2026-09-12,07 Sep to 12 Sep 2026,Hard,H,Outdoor,https://www.itftennis.com/en/tournament/j30-ahmedabad/ind/2026/j-j30-ind-2026-005/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.825Z,"{""tournamentName"":""J30 Ahmedabad"",""dates"":""07 Sep to 12 Sep 2026"",""location"":""Ahmedabad"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Hard"",""surfaceCode"":""H"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Ahmedabad"",""promotionalName"":""J30 Ahmedabad"",""hostNation"":""India"",""hostNationCode"":""IND"",""venue"":""Ahmedabad"",""startDate"":""2026-09-07T00:00:00"",""endDate"":""2026-09-12T00:00:00"",""tournamentKey"":""J-J30-IND-2026-005"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-ahmedabad/ind/2026/j-j30-ind-2026-005/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-J30-AZE-2026-002,J30 Baku,J30 ITF Baku: World Sports Capital 2026,J30,Azerbaijan,AZE,Baku,Baku,2026-09-07,2026-09-13,07 Sep to 13 Sep 2026,Hard,H,Outdoor,https://www.itftennis.com/en/tournament/j30-baku/aze/2026/j-j30-aze-2026-002/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.825Z,"{""tournamentName"":""J30 Baku"",""dates"":""07 Sep to 13 Sep 2026"",""location"":""Baku"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Hard"",""surfaceCode"":""H"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Baku"",""promotionalName"":""J30 ITF Baku: World Sports Capital 2026"",""hostNation"":""Azerbaijan"",""hostNationCode"":""AZE"",""venue"":""Baku"",""startDate"":""2026-09-07T00:00:00"",""endDate"":""2026-09-13T00:00:00"",""tournamentKey"":""J-J30-AZE-2026-002"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-baku/aze/2026/j-j30-aze-2026-002/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-J30-SRB-2026-004,J30 Pancevo,J30 PANCEVO,J30,Serbia,SRB,Pancevo,Pancevo,2026-09-07,2026-09-12,07 Sep to 12 Sep 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j30-pancevo/srb/2026/j-j30-srb-2026-004/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.825Z,"{""tournamentName"":""J30 Pancevo"",""dates"":""07 Sep to 12 Sep 2026"",""location"":""Pancevo"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Pancevo"",""promotionalName"":""J30 PANCEVO"",""hostNation"":""Serbia"",""hostNationCode"":""SRB"",""venue"":""Pancevo"",""startDate"":""2026-09-07T00:00:00"",""endDate"":""2026-09-12T00:00:00"",""tournamentKey"":""J-J30-SRB-2026-004"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-pancevo/srb/2026/j-j30-srb-2026-004/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-J30-HON-2026-006,J30 San Pedro Sula,Copa Arabe Internacional,J30,Honduras,HON,San Pedro Sula,San Pedro Sula,2026-09-07,2026-09-12,07 Sep to 12 Sep 2026,Hard,H,Outdoor,https://www.itftennis.com/en/tournament/j30-san-pedro-sula/hon/2026/j-j30-hon-2026-006/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.825Z,"{""tournamentName"":""J30 San Pedro Sula"",""dates"":""07 Sep to 12 Sep 2026"",""location"":""San Pedro Sula"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Hard"",""surfaceCode"":""H"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 San Pedro Sula"",""promotionalName"":""Copa Arabe Internacional"",""hostNation"":""Honduras"",""hostNationCode"":""HON"",""venue"":""San Pedro Sula"",""startDate"":""2026-09-07T00:00:00"",""endDate"":""2026-09-12T00:00:00"",""tournamentKey"":""J-J30-HON-2026-006"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-san-pedro-sula/hon/2026/j-j30-hon-2026-006/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-09-07,2026-09-13,2026-09-05,2026-09-13,,J-J30-GEO-2026-004,J30 Telavi,TBA,J30,Georgia,GEO,Telavi,Telavi,2026-09-07,2026-09-12,07 Sep to 12 Sep 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j30-telavi/geo/2026/j-j30-geo-2026-004/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-09-05&dateTo=2026-09-13&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-09-08T16:11:57.825Z,"{""tournamentName"":""J30 Telavi"",""dates"":""07 Sep to 12 Sep 2026"",""location"":""Telavi"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Telavi"",""promotionalName"":""TBA"",""hostNation"":""Georgia"",""hostNationCode"":""GEO"",""venue"":""Telavi"",""startDate"":""2026-09-07T00:00:00"",""endDate"":""2026-09-12T00:00:00"",""tournamentKey"":""J-J30-GEO-2026-004"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-telavi/geo/2026/j-j30-geo-2026-004/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
