week_start,week_end,search_start,search_end,tournament_id,tournament_key,tournament_name,promotional_name,category,host_nation,host_nation_code,location,venue,start_date,end_date,dates_raw,surface,surface_code,indoor_outdoor,tournament_link,live_link,source_url,collected_at,raw_json
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J100-ROU-2026-001,J100 Bucharest,TCB Junior Trophy,J100,Romania,ROU,Bucharest,Bucharest,2026-05-25,2026-05-30,25 May to 30 May 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J100 Bucharest"",""dates"":""25 May to 30 May 2026"",""location"":""Bucharest"",""category"":""J100"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J100 Bucharest"",""promotionalName"":""TCB Junior Trophy"",""hostNation"":""Romania"",""hostNationCode"":""ROU"",""venue"":""Bucharest"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-30T00:00:00"",""tournamentKey"":""J-J100-ROU-2026-001"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J100-CAN-2026-006,J100 Calgary,YONEX CALGARY J100 JUNIOR EVENT,J100,Canada,CAN,Calgary,Calgary,2026-05-25,2026-05-30,25 May to 30 May 2026,Hard,H,Indoor,https://www.itftennis.com/en/tournament/j100-calgary/can/2026/j-j100-can-2026-006/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J100 Calgary"",""dates"":""25 May to 30 May 2026"",""location"":""Calgary"",""category"":""J100"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Hard"",""surfaceCode"":""H"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Indoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J100 Calgary"",""promotionalName"":""YONEX CALGARY J100 JUNIOR EVENT"",""hostNation"":""Canada"",""hostNationCode"":""CAN"",""venue"":""Calgary"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-30T00:00:00"",""tournamentKey"":""J-J100-CAN-2026-006"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j100-calgary/can/2026/j-j100-can-2026-006/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J30-ARG-2026-001,J30 Buenos Aires,Copa Jacarandá,J30,Argentina,ARG,Buenos Aires,Buenos Aires,2026-05-25,2026-05-31,25 May to 31 May 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j30-buenos-aires/arg/2026/j-j30-arg-2026-001/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J30 Buenos Aires"",""dates"":""25 May to 31 May 2026"",""location"":""Buenos Aires"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Buenos Aires"",""promotionalName"":""Copa Jacarandá"",""hostNation"":""Argentina"",""hostNationCode"":""ARG"",""venue"":""Buenos Aires"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-31T00:00:00"",""tournamentKey"":""J-J30-ARG-2026-001"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-buenos-aires/arg/2026/j-j30-arg-2026-001/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J30-USA-2026-004,J30 Chicago,J30 Chicago,J30,USA,USA,Chicago,Chicago,2026-05-25,2026-05-30,25 May to 30 May 2026,Hard,H,Outdoor,https://www.itftennis.com/en/tournament/j30-chicago/usa/2026/j-j30-usa-2026-004/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J30 Chicago"",""dates"":""25 May to 30 May 2026"",""location"":""Chicago"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Hard"",""surfaceCode"":""H"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Chicago"",""promotionalName"":""J30 Chicago"",""hostNation"":""USA"",""hostNationCode"":""USA"",""venue"":""Chicago"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-30T00:00:00"",""tournamentKey"":""J-J30-USA-2026-004"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-chicago/usa/2026/j-j30-usa-2026-004/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J30-KGZ-2026-002,J30 Cholpon-Ata,J30 Cholpon-Ata,J30,Kyrgyzstan,KGZ,Cholpon-Ata,Cholpon-Ata,2026-05-25,2026-05-30,25 May to 30 May 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j30-cholpon-ata/kgz/2026/j-j30-kgz-2026-002/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J30 Cholpon-Ata"",""dates"":""25 May to 30 May 2026"",""location"":""Cholpon-Ata"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Cholpon-Ata"",""promotionalName"":""J30 Cholpon-Ata"",""hostNation"":""Kyrgyzstan"",""hostNationCode"":""KGZ"",""venue"":""Cholpon-Ata"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-30T00:00:00"",""tournamentKey"":""J-J30-KGZ-2026-002"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-cholpon-ata/kgz/2026/j-j30-kgz-2026-002/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J30-SRI-2026-007,J30 Colombo,ITF Junior Circuit SSC - Week 1,J30,Sri Lanka,SRI,Colombo,Colombo,2026-05-25,2026-05-31,25 May to 31 May 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j30-colombo/sri/2026/j-j30-sri-2026-007/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J30 Colombo"",""dates"":""25 May to 31 May 2026"",""location"":""Colombo"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Colombo"",""promotionalName"":""ITF Junior Circuit SSC -  Week 1"",""hostNation"":""Sri Lanka"",""hostNationCode"":""SRI"",""venue"":""Colombo"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-31T00:00:00"",""tournamentKey"":""J-J30-SRI-2026-007"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-colombo/sri/2026/j-j30-sri-2026-007/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J30-CZE-2026-002,J30 Hradec Kralove,Hradec Junior Cup 2026,J30,Czechia,CZE,Hradec Kralove,Hradec Kralove,2026-05-25,2026-05-30,25 May to 30 May 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j30-hradec-kralove/cze/2026/j-j30-cze-2026-002/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J30 Hradec Kralove"",""dates"":""25 May to 30 May 2026"",""location"":""Hradec Kralove"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Hradec Kralove"",""promotionalName"":""Hradec Junior Cup 2026"",""hostNation"":""Czechia"",""hostNationCode"":""CZE"",""venue"":""Hradec Kralove"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-30T00:00:00"",""tournamentKey"":""J-J30-CZE-2026-002"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-hradec-kralove/cze/2026/j-j30-cze-2026-002/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J30-CHN-2026-003,J30 Jingshan,China Junior Jingshan J30,J30,"China, P.R.",CHN,Jingshan,Jingshan,2026-05-25,2026-05-30,25 May to 30 May 2026,Hard,H,Outdoor,https://www.itftennis.com/en/tournament/j30-jingshan/chn/2026/j-j30-chn-2026-003/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J30 Jingshan"",""dates"":""25 May to 30 May 2026"",""location"":""Jingshan"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Hard"",""surfaceCode"":""H"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Jingshan"",""promotionalName"":""China Junior Jingshan J30"",""hostNation"":""China, P.R."",""hostNationCode"":""CHN"",""venue"":""Jingshan"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-30T00:00:00"",""tournamentKey"":""J-J30-CHN-2026-003"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-jingshan/chn/2026/j-j30-chn-2026-003/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J30-UGA-2026-001,J30 Kampala,J30 Kampala,J30,Uganda,UGA,Kampala,Kampala,2026-05-25,2026-05-30,25 May to 30 May 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j30-kampala/uga/2026/j-j30-uga-2026-001/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J30  Kampala"",""dates"":""25 May to 30 May 2026"",""location"":""Kampala"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30  Kampala"",""promotionalName"":""J30 Kampala"",""hostNation"":""Uganda"",""hostNationCode"":""UGA"",""venue"":""Kampala"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-30T00:00:00"",""tournamentKey"":""J-J30-UGA-2026-001"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-kampala/uga/2026/j-j30-uga-2026-001/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
2026-06-01,2026-06-07,2026-05-30,2026-06-07,,J-J30-CYP-2026-003,J30 Limassol,Premier Club ITF J30,J30,Cyprus,CYP,Limassol,Limassol,2026-05-25,2026-05-31,25 May to 31 May 2026,Clay,C,Outdoor,https://www.itftennis.com/en/tournament/j30-limassol/cyp/2026/j-j30-cyp-2026-003/,,https://www.itftennis.com/tennis/api/TournamentApi/GetCalendar?circuitCode=JT&searchString=&skip=0&take=100&nationCodes=&zoneCodes=&dateFrom=2026-05-30&dateTo=2026-06-07&indoorOutdoor=&categories=&isOrderAscending=true&orderField=startDate&surfaceCodes=&singlesDrawFormat=,2026-06-03T03:32:27.698Z,"{""tournamentName"":""J30 Limassol"",""dates"":""25 May to 31 May 2026"",""location"":""Limassol"",""category"":""J30"",""prizeMoney"":"""",""liveLink"":"""",""surfaceDesc"":""Clay"",""surfaceCode"":""C"",""tourStatusCode"":null,""tourStatusDesc"":null,""indoorOrOutDoor"":""Outdoor"",""isRecognised"":false,""recognisedTournamentLink"":""/en/about-us/governance/tournament-recognition/home/"",""id"":0,""name"":""J30 Limassol"",""promotionalName"":""Premier Club ITF J30 "",""hostNation"":""Cyprus"",""hostNationCode"":""CYP"",""venue"":""Limassol"",""startDate"":""2026-05-25T00:00:00"",""endDate"":""2026-05-31T00:00:00"",""tournamentKey"":""J-J30-CYP-2026-003"",""tennisCategoryCode"":""JT"",""tournamentLink"":""/en/tournament/j30-limassol/cyp/2026/j-j30-cyp-2026-003/"",""hospitality"":null,""year"":2026,""liveStreamingUrl"":""""}"
