category,event_type,event_classification,round_label,points
JGS,singles,main_draw,R128,10
JGS,singles,main_draw,R64,30
JGS,singles,main_draw,R32,90
JGS,singles,main_draw,R16,180
JGS,singles,main_draw,QF,300
JGS,singles,main_draw,SF,490
JGS,singles,main_draw,F,700
JGS,singles,main_draw,W,1000
JGS,doubles,main_draw,R128,10
JGS,doubles,main_draw,R64,30
JGS,doubles,main_draw,R32,90
JGS,doubles,main_draw,R16,180
JGS,doubles,main_draw,QF,300
JGS,doubles,main_draw,SF,490
JGS,doubles,main_draw,F,700
JGS,doubles,main_draw,W,1000
J500,singles,main_draw,R128,5
J500,singles,main_draw,R64,15
J500,singles,main_draw,R32,45
J500,singles,main_draw,R16,90
J500,singles,main_draw,QF,150
J500,singles,main_draw,SF,245
J500,singles,main_draw,F,350
J500,singles,main_draw,W,500
J500,doubles,main_draw,R128,5
J500,doubles,main_draw,R64,15
J500,doubles,main_draw,R32,45
J500,doubles,main_draw,R16,90
J500,doubles,main_draw,QF,150
J500,doubles,main_draw,SF,245
J500,doubles,main_draw,F,350
J500,doubles,main_draw,W,500
J300,singles,main_draw,R128,3
J300,singles,main_draw,R64,9
J300,singles,main_draw,R32,27
J300,singles,main_draw,R16,54
J300,singles,main_draw,QF,90
J300,singles,main_draw,SF,147
J300,singles,main_draw,F,210
J300,singles,main_draw,W,300
J300,doubles,main_draw,R128,3
J300,doubles,main_draw,R64,9
J300,doubles,main_draw,R32,27
J300,doubles,main_draw,R16,54
J300,doubles,main_draw,QF,90
J300,doubles,main_draw,SF,147
J300,doubles,main_draw,F,210
J300,doubles,main_draw,W,300
J200,singles,main_draw,R128,2
J200,singles,main_draw,R64,6
J200,singles,main_draw,R32,18
J200,singles,main_draw,R16,36
J200,singles,main_draw,QF,60
J200,singles,main_draw,SF,98
J200,singles,main_draw,F,140
J200,singles,main_draw,W,200
J200,doubles,main_draw,R128,2
J200,doubles,main_draw,R64,6
J200,doubles,main_draw,R32,18
J200,doubles,main_draw,R16,36
J200,doubles,main_draw,QF,60
J200,doubles,main_draw,SF,98
J200,doubles,main_draw,F,140
J200,doubles,main_draw,W,200
J100,singles,main_draw,R128,1
J100,singles,main_draw,R64,3
J100,singles,main_draw,R32,9
J100,singles,main_draw,R16,18
J100,singles,main_draw,QF,30
J100,singles,main_draw,SF,49
J100,singles,main_draw,F,70
J100,singles,main_draw,W,100
J100,doubles,main_draw,R128,1
J100,doubles,main_draw,R64,3
J100,doubles,main_draw,R32,9
J100,doubles,main_draw,R16,18
J100,doubles,main_draw,QF,30
J100,doubles,main_draw,SF,49
J100,doubles,main_draw,F,70
J100,doubles,main_draw,W,100
J60,singles,main_draw,R128,0
J60,singles,main_draw,R64,2
J60,singles,main_draw,R32,5
J60,singles,main_draw,R16,11
J60,singles,main_draw,QF,18
J60,singles,main_draw,SF,29
J60,singles,main_draw,F,42
J60,singles,main_draw,W,60
J60,doubles,main_draw,R128,0
J60,doubles,main_draw,R64,2
J60,doubles,main_draw,R32,5
J60,doubles,main_draw,R16,11
J60,doubles,main_draw,QF,18
J60,doubles,main_draw,SF,29
J60,doubles,main_draw,F,42
J60,doubles,main_draw,W,60
J30,singles,main_draw,R128,0
J30,singles,main_draw,R64,1
J30,singles,main_draw,R32,2
J30,singles,main_draw,R16,5
J30,singles,main_draw,QF,9
